IDDOMAIN,siteID,acceptedTaxonID,sexOrAge,sample_year,mean_density
16,ABBY,IXOPAC,Adult,All Years,0.010035616217320723
16,ABBY,IXOSP,Larva,All Years,0.0075
16,ABBY,IXOPAC,Nymph,All Years,0.0037578616352201264
1,BART,DERVAR,Adult,All Years,0.003928571428571429
1,BART,IXOSP,Larva,All Years,0.0012121212121212121
1,BART,DERVAR,Nymph,All Years,0.0024242424242424242
1,BART,IXOSCA,Nymph,All Years,0.0015384615384615385
2,BLAN,AMBAME,Adult,All Years,0.003735271273774343
2,BLAN,DERVAR,Adult,All Years,0.009978962938720203
2,BLAN,IXOSCA,Adult,All Years,0.00809417191562736
2,BLAN,IXOSP,Larva,All Years,0.6043154973530137
2,BLAN,AMBAME,Nymph,All Years,0.014226400477010622
2,BLAN,IXOSCA,Nymph,All Years,0.032401509415589363
11,CLBJ,AMBMAC,Adult,All Years,0.0037550966475385084
11,CLBJ,DERVAR,Adult,All Years,0.008178605309330612
9,DCFS,DERVAR,Adult,All Years,0.013510908995399756
8,DELA,AMBAME,Adult,All Years,0.00683498759305211
8,DELA,DERVAR,Adult,All Years,0.0011904761904761904
8,DELA,IXOSP,Larva,All Years,0.00125
8,DELA,AMBAME,Nymph,All Years,0.012113866978092292
8,DELA,IXOSCA,Nymph,All Years,0.001904761904761905
3,DSNY,AMBMAC,Adult,All Years,0.009126427966998096
3,DSNY,DERVAR,Adult,All Years,0.005075816404980212
7,GRSM,DERVAR,Adult,All Years,0.00863973406148203
7,GRSM,IXOSCA,Adult,All Years,0.00125
7,GRSM,IXOSP,Larva,All Years,0.00125
1,HARV,DERVAR,Adult,All Years,0.013601495357602042
1,HARV,IXOSCA,Adult,All Years,0.01667953680918064
1,HARV,IXOSCA,Larva,All Years,0.001222313496409882
1,HARV,IXOSP,Larva,All Years,0.2446047433602036
1,HARV,DERVAR,Nymph,All Years,0.006174242424242424
1,HARV,IXOSCA,Nymph,All Years,0.028492413790672792
3,JERC,AMBMAC,Adult,All Years,0.0013146551724137932
3,JERC,IXOSCA,Adult,All Years,0.00125
14,JORN,IXOSP,Larva,All Years,0.005058645176733424
6,KONA,DERVAR,Adult,All Years,0.00125
6,KONA,AMBAME,Nymph,All Years,0.007163461538461538
6,KONZ,AMBAME,Adult,All Years,0.02436309523809524
6,KONZ,AMBMAC,Adult,All Years,0.0053125
6,KONZ,DERVAR,Adult,All Years,0.011752976190476192
6,KONZ,AMBAME,Larva,All Years,0.00125
6,KONZ,IXOSP,Larva,All Years,1.4088541666666665
6,KONZ,AMBAME,Nymph,All Years,0.037914055973266504
8,LENO,AMBAME,Adult,All Years,0.008326979472140762
8,LENO,DERVAR,Adult,All Years,0.0014084507042253522
8,LENO,IXOSCA,Adult,All Years,0.001231060606060606
8,LENO,IXOSP,Larva,All Years,0.389965834970014
8,LENO,AMBAME,Nymph,All Years,0.011385369152026367
8,LENO,IXOSCA,Nymph,All Years,0.005147868011323426
8,LENO,IXOSP,Nymph,All Years,0.002105263157894737
7,MLBS,DERVAR,Adult,All Years,0.002444295900178253
7,MLBS,IXOSP,Larva,All Years,0.00125
7,MLBS,IXOSCA,Nymph,All Years,0.003125
9,NOGP,DERVAR,Adult,All Years,0.013556398566503359
11,OAES,AMBAME,Adult,All Years,0.004569559228650138
11,OAES,AMBMAC,Adult,All Years,0.006437229437229438
11,OAES,DERVAR,Adult,All Years,0.016127196767510173
11,OAES,IXOSCA,Adult,All Years,0.0012872516556291392
11,OAES,IXOSP,Larva,All Years,0.11400079617834395
11,OAES,AMBAME,Nymph,All Years,0.0075
11,OAES,DERVAR,Nymph,All Years,0.0025806451612903226
15,ONAQ,IXOPAC,Adult,All Years,0.0024390243902439024
7,ORNL,AMBAME,Adult,All Years,0.022653208104946206
7,ORNL,DERVAR,Adult,All Years,0.009891539344437917
7,ORNL,IXOSCA,Adult,All Years,0.012964307896598647
7,ORNL,IXOSP,Larva,All Years,0.8714501689824059
7,ORNL,AMBAME,Nymph,All Years,0.105781009599483
